,ISO,Year,BE3_GGGI
0,AFG,2019,0.43
1,ALA,2019,0.39
2,ALB,2019,0.62
3,DZA,2019,0.22
4,ASM,2019,0.72
5,AND,2019,0.68
6,AGO,2019,0.78
7,AIA,2019,
8,ATG,2019,
9,ARG,2019,0.48
10,ARM,2019,0.59
11,ABW,2019,0.88
12,AUS,2019,0.6
13,AUT,2019,0.6
14,AZE,2019,0.43
15,BHS,2019,0.84
16,BHR,2019,0.24
17,BGD,2019,0.96
18,BRB,2019,1.11
19,BLR,2019,0.35
20,BEL,2019,0.64
21,BLZ,2019,1.22
22,BEN,2019,0.76
23,BMU,2019,
24,BTN,2019,0.8
25,BOL,2019,0.82
26,BES,2019,
27,BIH,2019,0.7
28,BWA,2019,0.71
29,BRA,2019,0.93
30,BRN,2019,0.74
31,BGR,2019,0.53
32,BFA,2019,0.73
33,BDI,2019,0.83
34,CPV,2019,0.48
35,KHM,2019,0.89
36,CMR,2019,0.92
37,CAN,2019,0.53
38,CYM,2019,
39,CAF,2019,0.79
40,TCD,2019,0.48
41,CHI,2019,
42,CHL,2019,0.43
43,CHN,2019,0.63
44,COL,2019,0.93
45,COM,2019,1.02
46,COD,2019,0.91
47,COG,2019,0.92
48,COK,2019,0.79
49,CRI,2019,0.99
50,CIV,2019,0.9
51,HRV,2019,0.64
52,CUB,2019,0.96
53,CUW,2019,
54,CYP,2019,0.46
55,CZE,2019,0.46
56,DNK,2019,0.49
57,DJI,2019,0.27
58,DMA,2019,1.09
59,DOM,2019,1.03
60,ECU,2019,0.86
61,EGY,2019,0.23
62,SLV,2019,0.92
63,GNQ,2019,0.96
64,ERI,2019,0.59
65,EST,2019,0.35
66,ETH,2019,0.78
67,FRO,2019,0.63
68,FLK,2019,0.42
69,FJI,2019,0.96
70,FIN,2019,0.46
71,FRA,2019,0.63
72,GUF,2019,1.1
73,PYF,2019,0.81
74,GAB,2019,0.86
75,GMB,2019,0.83
76,GEO,2019,0.67
77,DEU,2019,0.56
78,GHA,2019,0.87
79,GIB,2019,
80,GRC,2019,0.48
81,GRL,2019,0.26
82,GRD,2019,1.11
83,GLP,2019,1.09
84,GUM,2019,0.84
85,GTM,2019,1.18
86,GGY,2019,
87,GIN,2019,0.82
88,GNB,2019,0.95
89,GUY,2019,1.12
90,HTI,2019,1.02
91,VAT,2019,0.5
92,HND,2019,1.02
93,HKG,2019,0.94
94,HUN,2019,0.48
95,ISL,2019,0.38
96,IND,2019,0.74
97,IDN,2019,0.97
98,IRN,2019,0.39
99,IRQ,2019,0.29
100,IRL,2019,0.59
101,IMN,2019,0.65
102,ISR,2019,0.36
103,ITA,2019,0.58
104,JAM,2019,0.95
105,JPN,2019,0.67
106,JEY,2019,0.62
107,JOR,2019,0.25
108,KAZ,2019,0.33
109,KEN,2019,0.78
110,KIR,2019,
111,PRK,2019,0.6
112,KOR,2019,0.49
113,XKX,2019,
114,KWT,2019,0.23
115,KGZ,2019,0.47
116,LAO,2019,0.93
117,LVA,2019,0.33
118,LBN,2019,0.45
119,LSO,2019,0.59
120,LBR,2019,0.97
121,LBY,2019,0.23
122,LIE,2019,0.65
123,LTU,2019,0.33
124,LUX,2019,0.63
125,MAC,2019,
126,MKD,2019,0.62
127,MDG,2019,0.96
128,MWI,2019,0.94
129,MYS,2019,0.87
130,MDV,2019,
131,MLI,2019,0.43
132,MLT,2019,0.46
133,MHL,2019,0.8
134,MTQ,2019,1.1
135,MRT,2019,0.3
136,MUS,2019,1.1
137,MYT,2019,1.06
138,MEX,2019,0.79
139,FSM,2019,0.86
140,MDA,2019,0.41
141,MCO,2019,0.54
142,MNG,2019,0.49
143,MNE,2019,0.73
144,MSR,2019,
145,MAR,2019,0.3
146,MOZ,2019,0.88
147,MMR,2019,0.87
148,NAM,2019,0.66
149,NRU,2019,
150,NPL,2019,0.86
151,NLD,2019,0.59
152,NCL,2019,0.96
153,NZL,2019,0.52
154,NIC,2019,1.07
155,NER,2019,0.39
156,NGA,2019,0.78
157,NIU,2019,0.75
158,NFK,2019,0.87
159,MNP,2019,0.81
160,NOR,2019,0.44
161,OMN,2019,0.23
162,PAK,2019,0.38
163,PLW,2019,0.85
164,PSE,2019,0.42
165,PAN,2019,1.1
166,PNG,2019,0.94
167,PRY,2019,0.82
168,PER,2019,0.81
169,PHL,2019,1.05
170,PCN,2019,
171,POL,2019,0.38
172,PRT,2019,0.39
173,PRI,2019,1.04
174,QAT,2019,0.23
175,REU,2019,1.06
176,ROU,2019,0.52
177,RUS,2019,0.6
178,RWA,2019,0.95
179,BLM,2019,1.07
180,SHN,2019,0.55
181,KNA,2019,1.08
182,LCA,2019,1.11
183,MAF,2019,1.07
184,SPM,2019,
185,VCT,2019,1.11
186,WSM,2019,0.72
187,SMR,2019,0.69
188,STP,2019,0.92
189,SAU,2019,0.22
190,SEN,2019,0.78
191,SRB,2019,0.64
192,SYC,2019,0.97
193,SLE,2019,0.93
194,SGP,2019,0.98
195,SMX,2019,
196,SVK,2019,0.49
197,SVN,2019,0.67
198,SLB,2019,0.73
199,SOM,2019,0.7
200,ZAF,2019,0.61
201,ESP,2019,0.48
202,LKA,2019,0.94
203,SDN,2019,0.54
204,SSD,2019,
205,SUR,2019,1.14
206,SJM,2019,0.38
207,SWZ,2019,0.66
208,SWE,2019,0.43
209,CHE,2019,0.65
210,SYR,2019,0.3
211,TWN,2019,0.97
212,TJK,2019,0.46
213,TZA,2019,0.88
214,THA,2019,0.87
215,TLS,2019,1.04
216,TGO,2019,0.8
217,TKL,2019,
218,TON,2019,0.74
219,TTO,2019,1.12
220,TUN,2019,0.28
221,TUR,2019,0.47
222,TKM,2019,0.27
223,TCA,2019,0.99
224,TUV,2019,
225,UGA,2019,0.93
226,UKR,2019,0.41
227,ARE,2019,0.25
228,GBR,2019,0.57
229,USA,2019,0.52
230,URY,2019,0.82
231,UZB,2019,0.25
232,VUT,2019,0.68
233,VEN,2019,0.96
234,VNM,2019,0.94
235,VGB,2019,
236,VIR,2019,
237,WLF,2019,
238,ESH,2019,0.22
239,YEM,2019,0.24
240,ZMB,2019,0.85
241,ZWE,2019,0.86
