ISO,EST
AFG,72.71553115918631
AGO,69.62654069629063
ALB,50.07354951878601
ARE,8.80208931349939
ARG,42.844674930360036
ARM,51.72950316899812
AUS,15.330368126835623
AUT,6.572920938213851
AZE,56.82474516965079
BDI,69.0533259712172
BEL,6.158932525660825
BEN,47.20747589341888
BFA,51.3155147564451
BGD,52.71670630662458
BGR,38.1634213422604
BHR,41.316102330164235
BHS,54.3726599568367
BIH,45.32860540567821
BLR,52.78039683163273
BOL,59.69081879501792
BRA,39.691993942456186
BRN,48.57682218109429
BTN,65.70957340828889
BWA,37.81312345471553
CAF,66.37832392087455
CAN,16.094654426933523
CHE,10.55357875122375
CHL,29.15121205360598
CHN,19.97977645243118
CIV,36.6348487420646
CMR,52.111646319047075
COD,57.46165041973238
COG,55.61462519449578
COL,41.093185492635676
COM,53.35361155670617
CRI,45.86997486824756
CUB,64.81790605817466
CYP,34.43752562928314
CZE,17.591381764625236
DEU,1.0
DJI,50.869681081387995
DNK,7.655659863352537
DOM,50.00985899377785
DZA,56.82474516965079
ECU,43.003901242880424
EGY,44.81908120561294
ERI,68.32088493362338
ESP,12.782747126509285
EST,29.310438366126387
ETH,59.08575880744043
FIN,8.388100900946363
FJI,59.881890370042406
FRA,12.368758713956261
GAB,65.93249024581745
GBR,7.81488617587293
GEO,56.983971482171185
GHA,53.098849456673534
GIN,64.69052500815835
GMB,58.32147250734253
GNB,58.76730618239962
GNQ,60.96462929518108
GRC,32.71788145406285
GTM,57.87563883228541
GUY,59.69081879501792
HND,51.85688421901444
HRV,35.934252966974846
HTI,67.5247533710214
HUN,25.902995278189906
IDN,34.469370891787214
IND,33.60954880417707
IRL,23.00507639031871
IRN,43.92741385549872
IRQ,65.48665657076033
ISL,32.080976203981265
ISR,29.437819416142705
ITA,15.712511276884573
JAM,54.563731531861166
JOR,49.181882168671784
JPN,6.572920938213851
KAZ,45.29676014317413
KEN,45.13753383065374
KGZ,53.70390944425104
KHM,52.65301578161642
KOR,19.756859614902623
KWT,43.672651755466084
LAO,48.79973901862283
LBN,48.25836955605349
LBR,63.798857658044135
LBY,67.71582494604588
LKA,52.04795579403893
LSO,62.27028505784833
LTU,38.672945542325664
LUX,19.183644889829207
LVA,45.29676014317413
MAR,53.89498101927551
MDA,56.56998306961817
MDG,58.703615657391474
MDV,49.914323206265614
MEX,37.62205187969104
MKD,48.64051270610244
MLI,52.302717894071556
MLT,45.169379093157815
MMR,61.60153454526267
MNE,47.3348569434352
MNG,59.213139857456724
MOZ,49.30926321868811
MRT,60.55064088262806
MUS,47.74884535598822
MWI,52.430098944087874
MYS,32.20835725399759
NAM,47.366702205939276
NER,68.86225439619272
NGA,54.14974311930814
NIC,54.18158838181222
NLD,6.795837775742395
NOR,17.050012302055894
NPL,54.754803106885646
NZL,11.349710313825726
OMN,32.972643554095484
PAK,57.748257782269086
PAN,30.45686781627324
PER,49.02265585615139
PHL,42.30330546779069
PNG,65.5503470957685
POL,22.04971851519633
PRT,18.76965647727618
PRY,46.188427493288344
QAT,24.151505840465546
ROU,35.45657402941366
RUS,46.98455905589032
RWA,40.04229183000107
SAU,38.895862379854215
SDN,57.46165041973238
SEN,63.066416620450326
SGP,7.528278813336221
SLB,52.907777881649054
SLE,68.6074922961601
SLV,52.74855156912866
SOM,64.43576290812572
SRB,44.309557005547674
STP,50.29646635631457
SVK,38.38633817978894
SVN,29.214902578614147
SWE,5.713098850603709
SYR,61.665225070270836
TCD,57.81194830727726
TGO,56.856590432154874
THA,26.15775737822254
TJK,60.26403352009135
TKM,58.0348651448058
TTO,57.84379356978133
TUN,52.93962314415314
TUR,34.596751941803525
TZA,39.564612892439875
UGA,52.78039683163273
UKR,44.65985489309254
URY,49.277417956184024
USA,11.063102951289016
UZB,52.71670630662458
VEN,63.798857658044135
VNM,30.52055834128139
YEM,62.65242820789728
ZAF,27.272341565865315
ZMB,54.34081469433263
ZWE,67.26999127098877
