Country,Year,Value,Delta,Time Series
Afghanistan,2016,0.215,,
Albania,2016,0.8,,
Algeria,2016,1.111,,
Angola,2016,0.292,,
Argentina,2016,1.06,,
Armenia,2016,0.547,,
Australia,2016,3.969,,
Austria,2016,2.69,,
Azerbaijan,2016,0.666,,
"Bahamas, The",2016,2.488,,
Bahrain,2016,2.526,,
Bangladesh,2016,0.06,,
Barbados,2016,1.433,,
Belarus,2016,1.137,,
Belgium,2016,2.295,,
Belize,2016,1.241,,
Benin,2016,0.441,,
Bhutan,2016,0.372,,
Bolivia,2016,0.753,,
Bosnia and Herzegovina,2016,1.024,,
Botswana,2016,1.111,,
Brazil,2016,0.956,,
Brunei Darussalam,2016,3.072,,
Bulgaria,2016,1.277,,
Burkina Faso,2016,0.064,,
Burundi,2016,0.056,,
Cabo Verde,2016,0.083,,
Cambodia,2016,0.317,,
Cameroon,2016,0.137,,
Canada,2016,4.754,,
Central African Republic,2016,0.077,,
Chad,2016,0.051,,
Chile,2016,1.474,,
China,2016,0.612,,
Colombia,2016,0.647,,
Comoros,2016,0.08,,
"Congo, Dem. Rep.",2016,0.025,,
"Congo, Rep.",2016,0.39,,
Costa Rica,2016,1.173,,
Cote d'Ivoire,2016,0.152,,
Croatia,2016,1.461,,
Cuba,2016,0.131,,
Cyprus,2016,1.624,,
Czech Republic,2016,1.704,,
Denmark,2016,2.06,,
Djibouti,2016,0.121,,
Dominica,2016,1.394,,
Dominican Republic,2016,0.554,,
Ecuador,2016,1.019,,
"Egypt, Arab Rep.",2016,0.585,,
El Salvador,2016,0.552,,
Equatorial Guinea,2016,0.051,,
Eritrea,2016,0.045,,
Estonia,2016,1.824,,
Eswatini,2016,0.096,,
Ethiopia,2016,0.052,,
Fiji,2016,0.663,,
Finland,2016,2.256,,
France,2016,1.823,,
Gabon,2016,0.404,,
"Gambia, The",2016,0.061,,
Georgia,2016,1.102,,
Germany,2016,1.955,,
Ghana,2016,0.259,,
Greece,2016,1.596,,
Grenada,2016,1.748,,
Guatemala,2016,0.482,,
Guinea,2016,0.066,,
Guinea-Bissau,2016,0.072,,
Guyana,2016,1.367,,
Haiti,2016,0.129,,
Honduras,2016,0.45,,
Hungary,2016,1.243,,
Iceland,2016,2.683,,
India,2016,0.2,,
Indonesia,2016,0.515,,
"Iran, Islamic Rep.",2016,1.627,,
Iraq,2016,0.68,,
Ireland,2016,2.502,,
Israel,2016,2.059,,
Italy,2016,1.677,,
Jamaica,2016,0.625,,
Japan,2016,1.634,,
Jordan,2016,0.878,,
Kazakhstan,2016,0.849,,
Kenya,2016,0.184,,
Kiribati,2016,0.323,,
"Korea, Dem. People's Rep.",2016,0.055,,
"Korea, Rep.",2016,1.977,,
Kuwait,2016,3.504,,
Kyrgyz Republic,2016,0.543,,
Lao PDR,2016,0.244,,
Latvia,2016,1.582,,
Lebanon,2016,0.949,,
Lesotho,2016,0.086,,
Liberia,2016,0.063,,
Libya,2016,3.369,,
Lithuania,2016,1.883,,
Luxembourg,2016,9.622,,
Madagascar,2016,0.061,,
Malawi,2016,0.061,,
Malaysia,2016,2.014,,
Maldives,2016,0.332,,
Mali,2016,0.058,,
Malta,2016,1.318,,
Mauritania,2016,0.129,,
Mauritius,2016,0.871,,
Mexico,2016,1.222,,
Moldova,2016,0.563,,
Mongolia,2016,0.562,,
Montenegro,2016,1.125,,
Morocco,2016,0.485,,
Mozambique,2016,0.135,,
Myanmar,2016,0.083,,
Namibia,2016,0.887,,
Nepal,2016,0.135,,
Netherlands,2016,1.767,,
New Zealand,2016,3.111,,
Nicaragua,2016,0.39,,
Niger,2016,0.058,,
Nigeria,2016,0.273,,
North Macedonia,2016,0.961,,
Norway,2016,2.541,,
Oman,2016,2.78,,
Pakistan,2016,0.239,,
Panama,2016,1.165,,
Papua New Guinea,2016,0.232,,
Paraguay,2016,0.892,,
Peru,2016,0.702,,
Philippines,2016,0.322,,
Poland,2016,1.404,,
Portugal,2016,1.559,,
Qatar,2016,5.137,,
Romania,2016,0.837,,
Russian Federation,2016,1.664,,
Rwanda,2016,0.067,,
Samoa,2016,0.495,,
Sao Tome and Principe,2016,0.081,,
Saudi Arabia,2016,4.242,,
Senegal,2016,0.195,,
Serbia,2016,0.85,,
Seychelles,2016,0.062,,
Sierra Leone,2016,0.063,,
Singapore,2016,1.159,,
Slovak Republic,2016,1.252,,
Slovenia,2016,2.712,,
Solomon Islands,2016,0.26,,
Somalia,2016,0.048,,
South Africa,2016,0.989,,
South Sudan,2016,0.082,,
Spain,2016,1.91,,
Sri Lanka,2016,0.443,,
St. Lucia,2016,1.371,,
St. Vincent and the Grenadines,2016,1.397,,
Sudan,2016,0.24,,
Suriname,2016,1.075,,
Sweden,2016,2.016,,
Switzerland,2016,1.911,,
Syrian Arab Republic,2016,0.347,,
Tajikistan,2016,0.149,,
Tanzania,2016,0.126,,
Thailand,2016,1.005,,
Timor-Leste,2016,0.22,,
Togo,2016,0.197,,
Tonga,2016,0.246,,
Trinidad and Tobago,2016,2.711,,
Tunisia,2016,0.623,,
Turkey,2016,0.994,,
Turkmenistan,2016,2.084,,
Uganda,2016,0.057,,
Ukraine,2016,0.542,,
United Arab Emirates,2016,3.733,,
United Kingdom,2016,1.837,,
United States,2016,5.291,,
Uruguay,2016,1.045,,
Uzbekistan,2016,0.179,,
Vanuatu,2016,0.248,,
"Venezuela, RB",2016,1.267,,
Vietnam,2016,0.39,,
"Yemen, Rep.",2016,0.102,,
Zambia,2016,0.074,,
Zimbabwe,2016,0.127,,
