ISO,TMP
AUS,1.0
AUT,33.41398446170921
BEL,58.68590455049945
BRA,97.14317425083243
CAN,40.00665926748058
CHE,75.16759156492786
CZE,60.88346281908991
DEU,53.192008879023305
DNK,43.30299667036625
ESP,38.90788013318535
FIN,80.1120976692564
FRA,86.70477247502775
GBR,82.85904550499446
GRC,100.0
HUN,85.60599334073252
IRL,55.38956714761376
ITA,100.0
JPN,83.95782463928968
KOR,3.7469478357380597
LTU,66.37735849056604
LUX,61.98224195338514
NLD,53.192008879023305
NZL,16.93229744728078
POL,27.920088790233066
PRT,67.47613762486128
SVK,75.16759156492786
SVN,43.30299667036625
SWE,42.20421753607104
USA,1.5493895671476021
